datetime;ee_consumption_kWh;t_out_C;true_anomalies;label
01/01/2016 00:00;140;5,125;0;ok
01/01/2016 01:00;138,9;4,975;0;ok
01/01/2016 02:00;141,4;4,7;0;ok
01/01/2016 03:00;145,1;4,45;0;ok
01/01/2016 04:00;143,9;4,125;0;ok
01/01/2016 05:00;150;4,125;0;ok
01/01/2016 06:00;152,9;4,325;0;ok
01/01/2016 07:00;156,6;4,575;0;ok
01/01/2016 08:00;150,1;4,825;0;ok
01/01/2016 09:00;129,5;4,75;0;ok
01/01/2016 10:00;128;4,625;0;ok
01/01/2016 11:00;117,7;4,725;0;ok
01/01/2016 12:00;118,2;5,15;0;ok
01/01/2016 13:00;123,4;5,325;0;ok
01/01/2016 14:00;115,8;5,5;0;ok
01/01/2016 15:00;113,5;5,425;0;ok
01/01/2016 16:00;124,2;5,45;0;ok
01/01/2016 17:00;149,5;5,35;0;ok
01/01/2016 18:00;157,6;5,225;0;ok
01/01/2016 19:00;156;5,225;0;ok
01/01/2016 20:00;156,3;5,225;0;ok
01/01/2016 21:00;156,5;5,1;0;ok
01/01/2016 22:00;155,2;5,05;0;ok
01/01/2016 23:00;148;5,2;0;ok
02/01/2016 00:00;143,2;5,2;0;ok
02/01/2016 01:00;142;4,875;0;ok
02/01/2016 02:00;143,9;4,65;0;ok
02/01/2016 03:00;142,4;4,375;0;ok
02/01/2016 04:00;142,2;4,225;0;ok
02/01/2016 05:00;149,8;3,975;0;ok
02/01/2016 06:00;151,6;4;0;ok
02/01/2016 07:00;156,7;3,675;0;ok
02/01/2016 08:00;152,8;3,95;0;ok
02/01/2016 09:00;146,7;3,9;0;ok
02/01/2016 10:00;150,8;4,15;0;ok
02/01/2016 11:00;141,7;3,7;0;ok
02/01/2016 12:00;138,8;3,475;0;ok
02/01/2016 13:00;135,4;3,625;0;ok
02/01/2016 14:00;127,1;3,75;0;ok
02/01/2016 15:00;140,4;3,575;0;ok
02/01/2016 16:00;132,7;3,35;0;ok
02/01/2016 17:00;148,4;3,325;0;ok
